
# Surface 0 of 1 surfaces

# Curve title: "x**2 + 2*x*y + y**3"

# Contour 0, label:    0.003
7.4793394e+00 -2.5851703e+00 3.0000000e-03 
7.5757576e+00 -2.6117207e+00 3.0000000e-03 
7.6233165e+00 -2.6252505e+00 3.0000000e-03 
7.7682344e+00 -2.6653307e+00 3.0000000e-03 
7.7777778e+00 -2.6679027e+00 3.0000000e-03 
7.9125943e+00 -2.7054108e+00 3.0000000e-03 
7.9797980e+00 -2.7235924e+00 3.0000000e-03 
8.0582840e+00 -2.7454910e+00 3.0000000e-03 
8.1818182e+00 -2.7790254e+00 3.0000000e-03 
8.2052211e+00 -2.7855711e+00 3.0000000e-03 
8.3522034e+00 -2.8256513e+00 3.0000000e-03 
8.3838384e+00 -2.8340600e+00 3.0000000e-03 
8.4995589e+00 -2.8657315e+00 3.0000000e-03 
8.5858586e+00 -2.8887383e+00 3.0000000e-03 
8.6481075e+00 -2.9058116e+00 3.0000000e-03 
8.7878788e+00 -2.9431701e+00 3.0000000e-03 
8.7977842e+00 -2.9458918e+00 3.0000000e-03 
8.9471150e+00 -2.9859719e+00 3.0000000e-03 
8.9898990e+00 -2.9971744e+00 3.0000000e-03 
9.0972432e+00 -3.0260521e+00 3.0000000e-03 
9.1919192e+00 -3.0508982e+00 3.0000000e-03 
9.2484590e+00 -3.0661323e+00 3.0000000e-03 
9.3939394e+00 -3.1043859e+00 3.0000000e-03 
9.4007098e+00 -3.1062124e+00 3.0000000e-03 
9.5526116e+00 -3.1462926e+00 3.0000000e-03 
9.5959596e+00 -3.1574639e+00 3.0000000e-03 
9.7053442e+00 -3.1863727e+00 3.0000000e-03 
9.7979798e+00 -3.2102870e+00 3.0000000e-03 
9.8590812e+00 -3.2264529e+00 3.0000000e-03 
1.0000000e+01 -3.2628843e+00 3.0000000e-03 

1.5834376e-02 -1.4028056e-01 3.0000000e-03 
3.0923112e-02 -1.0020040e-01 3.0000000e-03 
5.8098065e-02 -6.0120240e-02 3.0000000e-03 
1.0101010e-01 -3.5222840e-02 3.0000000e-03 
1.1919109e-01 -6.0120240e-02 3.0000000e-03 
1.6998239e-01 -1.0020040e-01 3.0000000e-03 
2.9454052e-01 -1.4028056e-01 3.0000000e-03 
3.0303030e-01 -1.4181415e-01 3.0000000e-03 
3.6192992e-01 -1.8036072e-01 3.0000000e-03 
4.5413449e-01 -2.2044088e-01 3.0000000e-03 
5.0505051e-01 -2.3623174e-01 3.0000000e-03 
5.4666431e-01 -2.6052104e-01 3.0000000e-03 
6.3391250e-01 -3.0060120e-01 3.0000000e-03 
7.0707071e-01 -3.2654105e-01 3.0000000e-03 
7.3313344e-01 -3.4068136e-01 3.0000000e-03 
8.2022288e-01 -3.8076152e-01 3.0000000e-03 
9.0909091e-01 -4.1377597e-01 3.0000000e-03 
9.2288342e-01 -4.2084168e-01 3.0000000e-03 
1.0115309e+00 -4.6092184e-01 3.0000000e-03 
1.1111111e+00 -4.9842266e-01 3.0000000e-03 
1.1164006e+00 -5.0100200e-01 3.0000000e-03 
1.2074166e+00 -5.4108216e-01 3.0000000e-03 
1.3131313e+00 -5.8080995e-01 3.0000000e-03 
1.3138867e+00 -5.8116232e-01 3.0000000e-03 
1.4077183e+00 -6.2124248e-01 3.0000000e-03 
1.5151515e+00 -6.6119325e-01 3.0000000e-03 
1.5154405e+00 -6.6132265e-01 3.0000000e-03 
1.6123603e+00 -7.0140281e-01 3.0000000e-03 
1.7171717e+00 -7.3978296e-01 3.0000000e-03 
1.7211160e+00 -7.4148297e-01 3.0000000e-03 
1.8213027e+00 -7.8156313e-01 3.0000000e-03 
1.9191919e+00 -8.1675744e-01 3.0000000e-03 
1.9309453e+00 -8.2164329e-01 3.0000000e-03 
2.0345222e+00 -8.6172345e-01 3.0000000e-03 
2.1212121e+00 -8.9227039e-01 3.0000000e-03 
2.1449486e+00 -9.0180361e-01 3.0000000e-03 
2.2520046e+00 -9.4188377e-01 3.0000000e-03 
2.3232323e+00 -9.6645567e-01 3.0000000e-03 
2.3631393e+00 -9.8196393e-01 3.0000000e-03 
2.4737403e+00 -1.0220441e+00 3.0000000e-03 
2.5252525e+00 -1.0394307e+00 3.0000000e-03 
2.5855267e+00 -1.0621242e+00 3.0000000e-03 
2.6997231e+00 -1.1022044e+00 3.0000000e-03 
2.7272727e+00 -1.1112992e+00 3.0000000e-03 
2.8121173e+00 -1.1422846e+00 3.0000000e-03 
2.9292929e+00 -1.1821470e+00 3.0000000e-03 
2.9298768e+00 -1.1823647e+00 3.0000000e-03 
3.0429158e+00 -1.2224449e+00 3.0000000e-03 
3.1313131e+00 -1.2517830e+00 3.0000000e-03 
3.1610185e+00 -1.2625251e+00 3.0000000e-03 
3.2779259e+00 -1.3026052e+00 3.0000000e-03 
3.3333333e+00 -1.3205521e+00 3.0000000e-03 
3.3963750e+00 -1.3426854e+00 3.0000000e-03 
3.5171503e+00 -1.3827655e+00 3.0000000e-03 
3.5353535e+00 -1.3885222e+00 3.0000000e-03 
3.6359484e+00 -1.4228457e+00 3.0000000e-03 
3.7373737e+00 -1.4555705e+00 3.0000000e-03 
3.7586165e+00 -1.4629259e+00 3.0000000e-03 
3.8797403e+00 -1.5030060e+00 3.0000000e-03 
3.9393939e+00 -1.5217838e+00 3.0000000e-03 
4.0026797e+00 -1.5430862e+00 3.0000000e-03 
4.1277518e+00 -1.5831663e+00 3.0000000e-03 
4.1414141e+00 -1.5873644e+00 3.0000000e-03 
4.2509715e+00 -1.6232465e+00 3.0000000e-03 
4.3434343e+00 -1.6520969e+00 3.0000000e-03 
4.3773290e+00 -1.6633267e+00 3.0000000e-03 
4.5034916e+00 -1.7034068e+00 3.0000000e-03 
4.5454545e+00 -1.7161855e+00 3.0000000e-03 
