
# Surface 0 of 1 surfaces

# Curve title: "sin(y**2) + x**2/3 - 1"

# Contour 0, label:        0
1.3131313e+00 7.5493591e+00 0.0000000e+00 
1.4855433e+00 7.5375375e+00 0.0000000e+00 
1.5151515e+00 7.5356640e+00 0.0000000e+00 
1.7171717e+00 7.5210545e+00 0.0000000e+00 
1.7606473e+00 7.5175175e+00 0.0000000e+00 
1.9191919e+00 7.5044451e+00 0.0000000e+00 
1.9950275e+00 7.4974975e+00 0.0000000e+00 
2.1212121e+00 7.4846138e+00 0.0000000e+00 
2.1847526e+00 7.4774775e+00 0.0000000e+00 
2.3232323e+00 7.4579765e+00 0.0000000e+00 
2.3266111e+00 7.4574575e+00 0.0000000e+00 
2.4125890e+00 7.4374374e+00 0.0000000e+00 
2.4470167e+00 7.4174174e+00 0.0000000e+00 
2.4272920e+00 7.3973974e+00 0.0000000e+00 
2.3555619e+00 7.3773774e+00 0.0000000e+00 
2.3232323e+00 7.3718508e+00 0.0000000e+00 
2.2307404e+00 7.3573574e+00 0.0000000e+00 
2.1212121e+00 7.3441383e+00 0.0000000e+00 
2.0592271e+00 7.3373373e+00 0.0000000e+00 
1.9191919e+00 7.3238874e+00 0.0000000e+00 
1.8431866e+00 7.3173173e+00 0.0000000e+00 
1.7171717e+00 7.3068278e+00 0.0000000e+00 
1.5883649e+00 7.2972973e+00 0.0000000e+00 
1.5151515e+00 7.2916075e+00 0.0000000e+00 
1.3131313e+00 7.2778698e+00 0.0000000e+00 
1.3029653e+00 7.2772773e+00 0.0000000e+00 
1.1111111e+00 7.2643622e+00 0.0000000e+00 
9.8445888e-01 7.2572573e+00 0.0000000e+00 
9.0909091e-01 7.2517129e+00 0.0000000e+00 
7.0707071e-01 7.2398238e+00 0.0000000e+00 
6.4847050e-01 7.2372372e+00 0.0000000e+00 
5.0505051e-01 7.2268235e+00 0.0000000e+00 
3.0660037e-01 7.2172172e+00 0.0000000e+00 
3.0303030e-01 7.2165942e+00 0.0000000e+00 
